Row,z_1,z_2
0,-1.1387935771242252,-0.7713732872115308
1,1.3819431861643408,-1.2585859565570616
2,1.2759312501466449,-1.674103079604039
3,0.8345082664925539,-2.00806021632132
4,-1.2293179751304062,-1.9002449441889895
5,,
6,-1.3400473100140675,0.4543420999966522
7,-1.2826476263818898,1.2711120413422048
8,-1.3228391920161684,1.8655257464646382
9,-1.3169488648147243,2.1693388992867813
10,-1.6255045965226276,2.8507507916329957
11,-1.5462537745344338,3.5025209891488966
12,-0.7883327318418653,4.051602647692368
13,-0.19867891471313875,4.068926419120761
14,-0.17132844362407038,3.923472200890525
15,0.0964430474484163,3.5067973774267163
16,0.7326126515744699,2.959587020290983
17,0.7810443270215949,2.49439013449735
18,1.2013167831644243,2.178374745030542
19,1.5956328337833294,1.8219728077616233
20,1.610652926641274,1.407701426751348
21,1.8732577561114867,1.072420127063287
22,1.783678033090842,0.5893094635998389
23,1.5090415242876731,0.08464861939484178
24,1.4519298546770478,-0.5688285485612871
25,-1.1387935771242252,-0.7713732872115308
26,-1.1933078176874663,-0.6170413673379946
27,-1.3782385425809487,0.01241684111330357
